time_ms,status,altitude_m,speed_ms,accel_ms2
52904,4,1928,145,-12.3
52924,4,1930,144,-4.7
52944,4,1934,144,-7.4
52964,4,1935,144,-10.4
52984,4,1939,144,-8.8
53004,4,1943,143,-13.7
53024,4,1945,143,-11.6
53044,4,1949,143,-4.4
53064,4,1951,143,-7.7
53084,4,1955,143,-11.2
53104,4,1959,142,-11.4
53124,4,1960,142,-13.2
53144,4,1964,142,-3.1
53164,4,1968,142,-2.8
53184,4,1970,142,-2.7
53204,4,1973,141,-3.2
53224,4,1975,141,-9.2
53244,4,1979,141,-12.3
53264,4,1983,141,-14.1
53284,4,1985,140,-11.5
53304,4,1989,140,-0.4
53324,4,1991,140,-2
53344,4,1994,140,-2.6
53364,4,1998,140,-3.2
53384,4,2000,139,-3.6
53404,4,2003,139,-10.2
53424,4,2005,139,-9
53444,4,2009,139,-6.4
53464,4,2013,139,-11.6
53484,4,2015,138,-2.6
53504,4,2019,138,-5.5
53524,4,2021,138,0.8
53544,4,2025,138,-4.1
53564,4,2028,138,-4.2
53584,4,2030,137,-1.2
53604,4,2033,137,-4.5
53624,4,2037,137,-8.7
53644,4,2039,137,-2.5
53664,4,2043,137,-3.8
53684,4,2044,136,-2.3
53704,4,2048,136,-3.2
53724,4,2052,136,-5.9
53744,4,2054,136,-11.4
53764,4,2058,136,-4.5
53784,4,2060,135,-0.5
53804,4,2063,135,-6.2
53824,4,2067,135,2.6
53844,4,2069,135,-8.7
53864,4,2072,135,-14.3
53884,4,2074,134,-11.9
53904,4,2078,134,-13
53924,4,2081,134,-15.8
53944,4,2083,133,-9.6
53964,4,2087,133,-1.3
53984,4,2091,133,-2
54004,4,2093,133,-3.5
54024,4,2096,133,1.4
54044,4,2098,133,-6.1
54064,4,2102,132,-15.3
54084,4,2105,132,-16.3
54104,4,2107,132,-10.7
54124,4,2110,131,-2.9
54144,4,2112,131,-1.5
54164,4,2116,131,2.2
54184,4,2119,131,-7.2
54204,4,2121,131,-16.4
54224,4,2125,130,-4.4
54244,4,2127,130,-1
54264,4,2130,130,-9.6
54284,4,2134,130,-0.5
54304,4,2136,129,-15.5
54324,4,2139,129,-4.4
54344,4,2141,129,-16.5
54364,4,2144,129,-2.5
54384,4,2148,129,-11.3
54404,4,2149,128,-15.8
54424,4,2153,128,-14.6
54444,4,2157,128,-7.1
54464,4,2159,128,-4.8
54484,4,2162,127,-18.2
54504,4,2164,127,-19.3
54524,4,2168,127,-6
54544,4,2171,126,-6.5
54564,4,2173,126,-13.6
54584,4,2176,126,-1.6
54604,4,2178,126,-3.8
54624,4,2181,126,-10.4
54644,4,2185,125,-7
54664,4,2186,125,-3.6
54684,4,2190,125,0.3
54704,4,2192,125,-19.8
54724,4,2195,124,1.8
54744,4,2199,124,-15.1
54764,4,2201,124,-11.6
54784,4,2204,124,-10.9
54804,4,2208,123,-2.4
54824,4,2209,123,-17.9
54844,4,2213,123,-15.6
54864,4,2215,123,-3.5
54884,4,2218,122,-15.2
54904,4,2221,122,-5
54924,4,2223,122,-17.6
54944,4,2226,121,-12.3
54964,4,2228,121,-6.6
54984,4,2232,121,-5.7
55004,4,2235,121,-12.2
55024,4,2237,120,-15.2
55044,4,2241,120,-4
55064,4,2242,120,-14.5
55084,4,2246,120,-5.4
55104,4,2249,120,-7.9
55124,4,2251,119,-7.1
55144,4,2254,119,-12.6
55164,4,2256,119,-8.3
55184,4,2259,119,-11.6
55204,4,2262,118,-16.6
55224,4,2264,118,2.4
55244,4,2267,118,-18.5
55264,4,2271,118,-1.2
55284,4,2273,117,-3.9
55304,4,2276,117,-15.6
55324,4,2278,117,-2.5
55344,4,2281,117,-10.7
55364,4,2285,117,-9.9
55384,4,2286,116,-14.3
55404,4,2289,116,-3.4
55424,4,2291,116,-14.6
55444,4,2294,116,-1.9
55464,4,2298,115,-4.9
55484,4,2299,115,-10.4
55504,4,2303,115,-10.9
55524,4,2304,115,-0.8
55544,4,2308,115,0.7
55564,4,2311,114,-15.7
55584,4,2313,114,-5.1
55604,4,2316,114,-1.8
55624,4,2318,114,-0.4
55644,4,2321,113,-13.2
55664,4,2324,113,-8.2
55684,4,2326,113,-3
55704,4,2329,113,-19.9
55724,4,2332,112,-17.2
55744,4,2334,112,-6.4
55764,4,2338,112,-3
55784,4,2339,111,-19.4
55804,4,2343,111,-13.7
55824,4,2346,111,-11.6
55844,4,2348,111,-0.5
55864,4,2351,111,-12.7
